brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
BF SHOES,Tênis Branco Lançamento Original Confortável,92,63,69,47,4.6,(7564)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,74,16,4.3,(123)
SKECHERS,Tenis Para Caminhada Skechers Ultra Leve Masculino Original,319,90,31,01,4.8,(26)
OLYMPIKUS,Tênis Masculino Taurus Olympikus *oferta*,279,99,130,99,4.9,(713)
OLYMPIKUS,Tênis Masculino De Corrida Olympikus Titanium,492,20,49,,,
MIZUNO,Tênis Mizuno Wave Mirai 6 - Masculino - Branco,479,89,46,53,,
NIKE,Tênis Nike Revolution 7 Masculino,369,99,35,87,,
FILA,Tênis Fila Float Maxxi 2 Pro Branco Verde E Cobre -masculino,899,99,90,,,
COLCCI,Tênis Colcci grafic Track 80 Branco Casual Leve Original,599,99,343,85,,
RUNWAY,Tênis Esportivo Masculino Caminhada Treino Leve Confortável,128,90,109,56,4.7,(7)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(7119)
ASICS,Tênis Asics Revelation Corrida Treino Macio Barato 38 Ao 43,269,90,99,86,4.1,(139)
NIKE,Tênis Nike Downshifter 13 Masculino,449,99,43,63,,
COLCCI,Tênis Colcci grafic Track 80 Confortável Com Nf ,599,99,343,85,,
COLCCI,Tênis Colcci grafic Track 80 Branco Macio Leve Envio Já,599,99,343,85,,
ADIDAS,Tenis adidas Casual Esporte Lançamento Original - Masculino,349,99,320,33,,
OLYMPIKUS,Tenis Masculino Olympikus Academia Treino Corrida Leve Macio,259,99,32,50,,
OLYMPIKUS,Tenis Masculino Olympikus Estilo Esportivo Original,259,99,32,50,,
OLYMPIKUS,Tênis Olympikus Estilo 2 Esportivo Original Treino Academia,259,99,32,50,,
COLCCI,Tênis Original Colcci macio Leve Casual Confortável ,599,99,318,57,,
OLYMPIKUS,Tênis Masculino Olympikus Marte Leve Confortável Original,189,99,162,10,,
OLYMPIKUS,Tênis Masculino Olympikus Marte Treino Caminhada Casual,189,99,162,10,,
OLYMPIKUS,Tênis Masculino Academia Corrida Treino Olympikus ,259,99,180,08,,
OLYMPIKUS,Tênis Masculino Olympikus Macio Leve Despojado Confortavel,259,99,180,08,,
OLYMPIKUS,Tênis Masculino Caminhada Olympikus Estilo,259,99,180,08,,
FILA,Tênis Fila Float Maxxi 2 Pro Branco Verde E Cobre Masculino,899,99,90,,,
FILA,Tênis Fila Float Maxxi 2 Pro Original Atleta Profissional,899,99,90,,,
FILA,Tênis Fila Float Maxxi 2 Pro Treino Corrida Caminhada Nfe,899,99,90,,,
FILA,Tênis Fila Float Maxxi 2 Pro Original Macio Confortável Leve,899,99,90,,,
FILA,Tênis Fila Float Maxxi 2 Pro Pisada Neutra Alto Desempenho,899,99,90,,,
FILA,Tênis Fila Float Maxxi 2 Pro Novo Alta Performance Reforçado,899,99,90,,,
FILA,Tênis Fila Float Maxxi 2 Pro Corrida Caminhada Treino Cross,899,99,90,,,
FILA,Tênis Fila Float Maxxi 2 Pro Original Lançamento Running,899,99,90,,,
FILA,Tênis Fila Float Maxxi 2 Pro Reforçado Macio Envio Imediato,899,99,87,25,,
FILA,Tênis Fila Float Maxxi 2 Pro Academia Treino Cross Corrida ,899,99,87,25,,
FILA,Tênis Fila Float Maxxi 2 Pro Original Profissional Envio Já,899,99,87,25,,
FILA,Tênis Fila Float Maxxi 2 Pro Alto Desempenho Pisada Neutra,899,99,87,25,,
OLYMPIKUS,Tênis Masculino Academia Corrida Treino Olympikus Estilo 2,259,99,32,50,,
FILA,Tênis Fila Float Maxxi 2 Pro Atletas Maratona Competiçao Nfe,899,99,87,25,,
FILA,Tênis Fila Float Maxxi 2 Pro Lançamento Placa De Carbono Nfe,899,99,90,,,
OLYMPIKUS,Tenis Olympikus Marte Masculino Original Academia Caminhada,189,99,162,10,,
OLYMPIKUS,Tênis Masculino Olympikus Marte Treino Caminhada Casual,189,99,162,10,,
ADIDAS,Tênis adidas Masculino Passeio Moderno Estiloso Leve Macio,349,99,320,33,,
UNDER ARMOUR,Tênis Masculino Under Armour Charged Wing Corrida Caminhada,299,99,33,33,,
ADIDAS,Tenis adidas Masculino Original Confortável Macio Leve,349,99,294,08,,
OLYMPIKUS,Tênis Masculino Olympikus Perfect Academia Leve Macio Novo,189,99,162,10,,
OLYMPIKUS,Tênis Olympikus Marte Preto Modelo Novo Masculino Corrida,189,99,149,63,,
OLYMPIKUS,Tênis Masculino Esportivo Academia Olympikus Amortecedor,189,99,162,10,,
OLYMPIKUS,Tenis Masculino Corrida Olympikus Amortecedor Impacto,189,99,162,10,,
FILA,Tênis Fila Float Maxxi 2 Pro Ultramaratona Placa De Carbono,899,99,87,25,,
OLYMPIKUS,Tênis Masculino P/ Academia Caminhada Olimpicos Modelo Novo,189,99,162,10,,
NEW BALANCE,Tênis New Balance Fresh Foam X More V4 Preto,799,90,79,99,,
ADIDAS,Tenis adidas Esporte Treino Academia Original - Masculino,349,99,294,08,,
NEW BALANCE,Tênis New Balance Fresh Foam X More V4 Branco,799,90,79,99,,
